parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,distance_gspphot
0.1366707800286502,20.625841,,19.004305,,,1.6215363,
-1.9001903912592226,20.70611,21.338095,19.974497,1.3635979,0.6319847,0.73161316,
,21.011179,22.124271,19.778538,2.3457336,1.1130924,1.2326412,
1.4735657404861155,20.259554,20.76235,19.737633,1.0247173,0.5027962,0.52192116,
,20.926981,21.446619,19.512264,1.9343548,0.51963806,1.4147167,
,20.998549,21.188698,20.181295,1.0074024,0.1901493,0.8172531,
,21.043516,21.93365,19.824629,2.1090202,0.8901329,1.2188873,
,21.045568,21.609211,20.358025,1.2511864,0.5636425,0.68754387,
,21.036793,21.128307,19.883455,1.2448521,0.09151459,1.1533375,
2.3089071819261684,15.485622,16.474077,14.481229,1.9928484,0.9884548,1.0043936,
,18.526033,,,,,,
,18.214247,,,,,,
,18.740988,,,,,,
,16.7957,,,,,,
,19.828566,,,,,,
,19.37938,,,,,,
,20.730515,,,,,,
,19.839333,,,,,,
,20.993107,,,,,,
,20.432241,,,,,,
,21.071959,,,,,,
-0.204316873620086,19.382673,19.78594,17.915745,1.8701954,0.4032669,1.4669285,
0.8075854947452098,19.074177,19.375507,17.688324,1.6871834,0.30133057,1.3858528,
0.5976846366249343,18.398983,18.900011,17.497986,1.4020252,0.50102806,0.90099716,1128.7047
0.2565259817967595,18.55924,19.346416,17.81374,1.5326767,0.78717613,0.74550056,895.9398
0.17374598477694492,18.979223,19.369753,17.86025,1.5095024,0.39052963,1.1189728,1369.5024
,19.524311,,,,,,
0.5799057584205797,18.03775,,,,,,
0.6166273699046624,18.493765,19.184458,17.652292,1.5321655,0.6906929,0.8414726,
1.2674184357555724,20.366817,21.10807,19.46829,1.63978,0.7412529,0.89852715,
,18.540388,14.4950485,12.570213,1.9248352,-4.0453396,5.970175,
0.19198863978174435,19.8994,20.8618,18.842968,2.0188313,0.9623985,1.0564327,
0.5549603057729213,18.292032,18.996614,17.556246,1.4403687,0.7045822,0.73578644,1111.1747
,20.936502,,,,,,
,20.62096,,,,,,
-0.23032145416375524,19.99864,,,,,,
-0.23649943745641575,20.557516,,,,,,
,20.981989,,20.147337,,,0.83465195,
0.22373348194350606,19.031132,19.537722,17.911875,1.6258469,0.5065899,1.119257,
0.6342815842470475,18.206753,,,,,,
0.31629113657768726,19.352793,20.10301,18.371954,1.7310562,0.75021744,0.9808388,
0.041119265289655246,20.456394,,,,,,
-0.3439618055115057,20.460577,22.435991,19.42929,3.0067005,1.9754143,1.0312862,
,19.465845,,,,,,
1.7762830361086768,18.219265,18.546906,17.052477,1.4944286,0.32764053,1.1667881,
0.42795557439141685,19.35383,,,,,,
3.7980756671300906,20.378643,,,,,,
1.2855376872134539,20.07263,21.034058,19.30271,1.731348,0.9614277,0.76992035,
-0.9006596342692619,20.562847,21.795994,19.650293,2.1457005,1.2331467,0.9125538,
-0.7556871019793033,20.000305,20.262117,18.852869,1.4092484,0.2618122,1.1474361,
-1.3638478140998558,20.582136,,,,,,
